variable,grupo_a,grupo_b,media_a,media_b,mediana_a,mediana_b,t,p_t,U,p_u,cohen_d,p_t_bonf,p_u_bonf,significativo
loudness,edm,latin,-5.496561808655152,-6.434743391812865,-5.008,-5.891,16.74676686760991,6.11816032605592e-62,13377924.5,3.7533833927733836e-72,0.3522925661686243,9.177240489083879e-61,5.6300750891600754e-71,True
loudness,edm,pop,-5.496561808655152,-6.422546602787456,-5.008,-5.914,17.736775803695117,2.9817331814589267e-69,14448715.0,1.6401084731055666e-79,0.36203498826294633,4.4725997721883905e-68,2.46016270965835e-78,True
loudness,edm,r&b,-5.496561808655152,-7.963555110642782,-5.008,-7.523,45.82762397264865,0.0,18658943.0,0.0,0.9284393944251597,0.0,0.0,True
loudness,edm,rap,-5.496561808655152,-7.104054786620532,-5.008,-6.5425,29.354097237269684,1.2327621156433554e-181,17999333.0,1.2914597260852221e-200,0.576286234703723,1.8491431734650331e-180,1.9371895891278332e-199,True
loudness,edm,rock,-5.496561808655152,-7.547394266055046,-5.008,-6.962,33.353528509297554,4.8811694499726256e-228,15415237.5,1.7105399610003495e-215,0.7048560012343736,7.321754174958938e-227,2.5658099415005243e-214,True
loudness,latin,pop,-6.434743391812865,-6.422546602787456,-5.891,-5.914,-0.20421515097366633,0.8381901676252004,9874801.0,0.6218906706360166,-0.004352657828805818,1.0,1.0,False
loudness,latin,r&b,-6.434743391812865,-7.963555110642782,-5.891,-7.523,25.000723879662175,2.230910307512079e-133,13672256.5,1.04928313165841e-179,0.5275299986727205,3.3463654612681186e-132,1.573924697487615e-178,True
loudness,latin,rap,-6.434743391812865,-7.104054786620532,-5.891,-6.5425,10.800384913638787,4.9559681410892975e-27,12733181.0,4.097858656088576e-34,0.22161542595606235,7.433952211633946e-26,6.146787984132864e-33,True
loudness,latin,rock,-6.434743391812865,-7.547394266055046,-5.891,-6.962,16.365588815776764,2.706548994902735e-59,11123128.5,1.1121656478920499e-54,0.3517354573007687,4.059823492354102e-58,1.668248471838075e-53,True
loudness,pop,r&b,-6.422546602787456,-7.963555110642782,-5.914,-7.523,26.718215762009628,1.3338586171433714e-151,14649605.0,7.1760232134642124e-183,0.5524680996105351,2.0007879257150572e-150,1.0764034820196318e-181,True
loudness,pop,rap,-6.422546602787456,-7.104054786620532,-5.914,-6.5425,11.640678371005786,4.10169184229641e-31,13619202.5,3.622229977238613e-33,0.23364103016767443,6.1525377634446146e-30,5.433344965857919e-32,True
loudness,pop,rock,-6.422546602787456,-7.547394266055046,-5.914,-6.962,17.337359773914674,3.5522175646387347e-66,11912999.0,1.2421300298177249e-54,0.36876125862633735,5.328326346958102e-65,1.8631950447265873e-53,True
loudness,r&b,rap,-7.963555110642782,-7.104054786620532,-7.523,-6.5425,-14.325257385717316,4.3692728210959285e-46,9847383.0,4.3002531057845956e-68,-0.28659618441982004,6.553909231643892e-45,6.450379658676894e-67,True
loudness,r&b,rock,-7.963555110642782,-7.547394266055046,-7.523,-6.962,-6.286932640670138,3.39582487078808e-10,9189469.0,3.104702165096601e-20,-0.13279033866748163,5.09373730618212e-09,4.657053247644902e-19,True
loudness,rap,rock,-7.104054786620532,-7.547394266055046,-6.5425,-6.962,6.621635033537586,3.7571344064519066e-11,12080844.0,3.6328410187736016e-08,0.13701421610650033,5.63570160967786e-10,5.449261528160403e-07,True
tempo,edm,latin,126.10208713370852,118.48587134502924,127.457,111.998,15.675609676924154,2.4317803240605285e-54,14807553.0,9.032000099169452e-183,0.34185155536950923,3.647670486090793e-53,1.354800014875418e-181,True
tempo,edm,pop,126.10208713370852,121.03662913763067,127.457,120.031,12.022649463866225,5.469790889149409e-33,14530157.0,2.0388906109425347e-84,0.2505052112238339,8.204686333724114e-32,3.058335916413802e-83,True
tempo,edm,r&b,126.10208713370852,114.18368893572182,127.457,108.331,25.494177390581335,3.3259125314254796e-137,16865070.0,4.419499434067114e-234,0.525107289915677,4.988868797138219e-136,6.629249151100671e-233,True
tempo,edm,rap,126.10208713370852,120.53637716262975,127.457,119.997,11.439420316394767,4.723872328568278e-30,14875765.5,3.548060696719674e-22,0.22416591232594965,7.085808492852417e-29,5.322091045079511e-21,True
tempo,edm,rock,126.10208713370852,125.10822981651376,127.457,124.03,2.0857496839240413,0.0370407988016113,11857098.0,2.9813258533667714e-06,0.044956233660899965,0.5556119820241695,4.4719887800501575e-05,True
tempo,latin,pop,118.48587134502924,121.03662913763067,111.998,120.031,-4.472614388673488,7.827627628621073e-06,8642678.5,2.1065688557863123e-22,-0.09555103787794583,0.0001174144144293161,3.1598532836794684e-21,True
tempo,latin,r&b,118.48587134502924,114.18368893572182,111.998,108.331,7.108527429527865,1.2629909891968956e-12,11078124.5,3.531523827151597e-14,0.1498646787845479,1.8944864837953433e-11,5.297285740727396e-13,True
tempo,latin,rap,118.48587134502924,120.53637716262975,111.998,119.997,-3.307044443282258,0.0009464017526198437,10875033.5,0.0653461880775474,-0.06760747031024508,0.014196026289297654,0.9801928211632109,False
tempo,latin,rock,118.48587134502924,125.10822981651376,111.998,124.03,-10.817381959245195,4.249236991330438e-27,7688531.5,4.8910786451157025e-45,-0.23286422707150056,6.373855486995657e-26,7.336617967673554e-44,True
tempo,pop,r&b,121.03662913763067,114.18368893572182,120.031,108.331,12.353431522110444,8.795115605229445e-35,13007481.0,3.2539565792727026e-59,0.25509906644109703,1.3192673407844168e-33,4.880934868909054e-58,True
tempo,pop,rap,121.03662913763067,120.53637716262975,120.031,119.997,0.876282482446447,0.38089828894042366,12293431.0,0.012282361236464442,0.017478828583944516,1.0,0.18423541854696662,False
